stage,fpga_vs_fixed_err,fpga_vs_fixed_cos,fpga_vs_float_err,fpga_vs_float_cos,fixed_vs_float_err,fixed_vs_float_cos
conv1,0.0,1.0,1.0951086929708253e-05,0.9999998632298526,1.0951086929708253e-05,0.9999998632298526
pool1,0.0,1.0,0.000730474128384003,0.9999805082430457,0.000730474128384003,0.9999805082430457
conv2,0.0,1.0,0.00022289213994554303,0.9999958196813852,0.00022289213994554303,0.9999958196813852
pool2,0.0,1.0,0.0019792883687259747,0.9999894286435442,0.0019792883687259747,0.9999894286435442
conv3,0.0,1.0,0.0012681594701880385,0.9999836587843595,0.0012681594701880385,0.9999836587843595
pool3,0.0,1.0,0.0017837976438459008,0.9999547864251918,0.0017837976438459008,0.9999547864251918
conv4,0.0,0.9999999999999999,0.0009430424586498702,0.9999476181895497,0.0009430424586498702,0.9999476181895497
pool4,0.0,1.0,0.0028185547578012176,0.99992385107589,0.0028185547578012176,0.99992385107589
conv5,0.0,0.9999999999999999,0.0013113621699491682,0.9996003481785489,0.0013113621699491682,0.9996003481785489
pool5,0.0,1.0,0.0040910711413890835,0.9992307522684128,0.0040910711413890835,0.9992307522684128
conv6,0.0,1.0,0.0017458521359942332,0.9994053446183342,0.0017458521359942332,0.9994053446183342
pool6,0.0,1.0000000000000002,0.0066083424765868886,0.9986301836465381,0.0066083424765868886,0.9986301836465381
conv7,0.0,1.0,0.0025526210873673943,0.9975541204635366,0.0025526210873673943,0.9975541204635366
pool7,0.0,0.9999999999999998,0.008205558904332324,0.9885927762857929,0.008205558904332324,0.9885927762857929
conv8,0.0,1.0,0.0027509209713311327,0.9918081930294795,0.0027509209713311327,0.9918081930294795
pool8,0.0,0.9999999999999999,0.01696176088201658,0.9891929983605745,0.01696176088201658,0.9891929983605745
conv9,0.0,1.0,0.004169917625404196,0.992163088509188,0.004169917625404196,0.992163088509188
pool9,0.0,1.0,0.033790342378779314,0.987728983765607,0.033790342378779314,0.987728983765607
